loss,hyperparameters,iteration,runtime,score
425722.4998329616,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.8918206371839121, 'learning_rate': 0.07540457809950497, 'max_depth': 6, 'num_leaves': 135, 'reg_alpha': 0.06123520790677568, 'reg_lambda': 0.786860351351724, 'subsample': 0.46820215160222994, 'n_estimators': 321}",39,3.0042077999996764,425722.4998329616
438289.7789341964,"{'boosting_type': 'dart', 'colsample_bytree': 0.44251482111688495, 'learning_rate': 0.08965019876320031, 'max_depth': 7, 'num_leaves': 141, 'reg_alpha': 0.38710800985730426, 'reg_lambda': 0.41698658691646323, 'subsample': 0.7406212266042552, 'n_estimators': 5000}",40,272.9886633000001,438289.7789341964
429043.7111125919,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.6734189026802662, 'learning_rate': 0.1812901483882092, 'max_depth': 8, 'num_leaves': 74, 'reg_alpha': 0.5471623201039165, 'reg_lambda': 0.5525038283642867, 'subsample': 0.9005300899482023, 'n_estimators': 139}",41,1.2716204000003017,429043.7111125919
439008.93198687676,"{'boosting_type': 'dart', 'colsample_bytree': 0.6082598170411979, 'learning_rate': 0.133973234157392, 'max_depth': 4, 'num_leaves': 109, 'reg_alpha': 0.6896575500450983, 'reg_lambda': 0.9293073396252136, 'subsample': 0.8156508704534403, 'n_estimators': 5000}",42,143.4330073000001,439008.93198687676
428561.9514997426,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.7863526670186343, 'learning_rate': 0.11065629776518054, 'max_depth': 7, 'num_leaves': 123, 'reg_alpha': 0.25539959411332636, 'reg_lambda': 0.3337826121695097, 'subsample': 0.6803520097742549, 'n_estimators': 133}",43,1.0220170000002327,428561.9514997426
430300.41305621417,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.7480619355192217, 'learning_rate': 0.23400459116548555, 'max_depth': 6, 'num_leaves': 100, 'reg_alpha': 0.18747865585286272, 'reg_lambda': 0.6765833680194565, 'subsample': 0.6074101233332162, 'n_estimators': 102}",44,0.7843738999999914,430300.41305621417
440316.75688649033,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.4981054363866734, 'learning_rate': 0.35548687592289774, 'max_depth': 7, 'num_leaves': 52, 'reg_alpha': 0.7714790997547931, 'reg_lambda': 0.842825878587514, 'subsample': 0.5214854774932128, 'n_estimators': 34}",45,0.6907999000000018,440316.75688649033
449696.9776397136,"{'boosting_type': 'dart', 'colsample_bytree': 0.9532281626576287, 'learning_rate': 0.31640304362093935, 'max_depth': 3, 'num_leaves': 90, 'reg_alpha': 0.3251834382966031, 'reg_lambda': 0.007354493317557553, 'subsample': 0.6453950583256849, 'n_estimators': 5000}",46,100.61962350000022,449696.9776397136
423630.90752108966,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.6501612054473938, 'learning_rate': 0.09996903529569574, 'max_depth': 5, 'num_leaves': 68, 'reg_alpha': 0.6202718449411417, 'reg_lambda': 0.6063742578282391, 'subsample': 0.49161310465592023, 'n_estimators': 379}",47,1.5787350999999035,423630.90752108966
420844.76746969286,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.4619554121628359, 'learning_rate': 0.061283379752976354, 'max_depth': 10, 'num_leaves': 107, 'reg_alpha': 0.22446600011823173, 'reg_lambda': 0.10546790186921023, 'subsample': 0.5576911318722432, 'n_estimators': 338}",48,4.206147700000201,420844.76746969286
